year,province,university_name,major_group_code,major_group_name,major_name,batch,enrollment_count,subject_requirements,highest_score,lowest_score,average_score,lowest_rank,average_rank,notes
2024,上海,上海大学,Z1902,上海大学(02),金融学,综合评价,5,物,561,555,557,6832,6458,
2024,上海,上海大学,Z1903,上海大学(03),社会学,综合评价,5,不限,564,558,562,6285,5544,
2024,上海,上海中医药大学,Z2101,上海中医大(01),中医学(屠呦呦班),综合评价,5,物化,581,570,574,4158,4317,
2024,上海,上海中医药大学,Z2101,上海中医大(01),中医学(5+3一体化),综合评价,15,物化,581,564,569,5180,4662,
2024,上海,上海中医药大学,Z2101,上海中医大(01),中医学(5+3一体化针灸推拿英语方向),综合评价,5,物化,581,564,567,5180,4662,
2024,上海,浙江大学,Z9101,浙江大学(01),机械工程(中外合作办学),综合评价,0,物化,587,580,586,2684,1980,
2024,上海,浙江大学,Z9101,浙江大学(01),电气工程及其自动化(中外合作办学),综合评价,0,物化,587,580,586,2684,1980,
2024,上海,浙江大学,Z9101,浙江大学(01),电子与计算机工程(中外合作办学),综合评价,7,物化,587,580,586,2684,1980,
2024,上海,浙江大学,Z9101,浙江大学(01),土木工程(中外合作办学),综合评价,0,物化,587,580,586,2684,1980,
2024,上海,浙江大学,Z9102,浙江大学(02),生物医学(中外合作办学),综合评价,1,物化,580,580,580,2684,2684,
2024,上海,浙江大学,Z9102,浙江大学(02),生物医学(中外合作办学),综合评价,2,物化,580,580,580,2684,2684,
2024,上海,复旦大学,10101,复旦大学(01),经济学类,普通本科,14,不限,595,580,592,2684,1376,
2024,上海,复旦大学,10101,复旦大学(01),金融学,普通本科,25,不限,595,580,593,2684,1280,
